Name,Min_CPU_Speed,Recommended_CPU_Speed,Min_GPU_Memory,Recommended_GPU_Memory,Min_RAM,Recommended_RAM,Min_OS,Recommended_OS,Min_Storage,Recommended_Storage,Release_Date
PaperPlane,,,,,0,0,0,0,0,0,1/14/2011
Pandora Saga: Weapons of Balance,,,,,0,0,0,0,0,0,2/15/2011
Pandemia,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/17/2011
Painkiller Redemption,2.6,,384,,1 GB,0,0,0,2 GB,0,2/25/2011
Train Simulator 2016,2.9,3.08,768,768,2 GB,4 GB,Windows Vista 32-bit,Windows 7 32-bit,6 GB,6 GB,7/12/2009
Pandemia:Doomed Xmas,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/17/2011
Pahelika Revelations,1.1,,144,,0MB,0,Windows 98,0,0MB,0,11/22/2011
Tom Clancy: End War,2.45,,512,,2 GB,0,0,0,10 GB,0,2/27/2009
Trine,2.2,,256,,1 GB,0,0,0,1 GB,0,7/2/2009
Tom Clancy Hawx,2.115,,512,,2 GB,0,0,0,7 GB,0,3/20/2009
Torchlight,1.665,,32,,0MB,0,0,0,0MB,0,10/27/2009
Time Gentlemen Please,2.5165,,192,,0MB,0,0,0,0MB,0,7/2/2009
The Way Of The Cossacks,,,,,0,0,0,0,0,0,6/26/2009
The Watchmen: The End is Nigh - Part 2,2.35,,384,,2 GB,0,0,0,2 GB,0,7/29/2009
Cognition: An Erica Reed Thriller Episode 3,1.63,1.85,320,1536,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,2.5 GB,2.5 GB,5/16/2013
Cognition: An Erica Reed Thriller Episode 2,1.63,1.85,320,1536,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,2.5 GB,2.5 GB,1/30/2013
Cloudberry Kingdom,2,3.23,128,1024,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,2 GB,8/2/2013
Civilization V: Scrambled Nations,1.85,2.215,256,512,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,8 GB,8 GB,11/5/2013
Civilization V: Scrambled Continents,1.85,2.215,256,512,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,8 GB,8 GB,10/15/2013
Civilization V: Brave New World,1.85,2.215,256,512,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,8 GB,8 GB,7/12/2013
Cities XL Platinum,2.1815,1.95,384,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 GB,2/6/2013
Cities in Motion 2,2.5,2.05,512,384,1 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,4/2/2013
Orcs Must Die!: Lost Adventures,1.85,2.78,128,672,2 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/12/2011
Orcs Must Die,1.85,2.78,128,672,1 GB,3 GB,Windows XP 32-bit,Windows Vista 32-bit,5 GB,5 GB,10/12/2011
Operation Flashpoint: Red River,2.4,2.3,256,512,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,6 GB,6 GB,4/21/2011
OMSI - Der Omnibussimulator,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,2/18/2011
Theatre of War 2 - North Africa 1943,2.35,,384,,2 GB,0,0,0,3.5 GB,0,4/24/2009
OIO The Game,2.78,,512,,2 GB,0,0,0,0MB,0,9/23/2011
Orcs Must Die! - Artifacts of Power,1.85,2.78,128,672,2 GB,3 GB,Windows XP 32-bit,Windows Vista 32-bit,0MB,0MB,10/25/2011
Off Road Drive,1.98,,384,,1 GB,0,0,0,8 GB,0,9/30/2011
Nuclear Dawn,2.55,,448,,2 GB,0,0,0,6 GB,0,9/25/2011
Oddworld: Strangers Wrath HD,,,,,0,0,0,0,0,0,12/21/2011
The Watchmen: The End is Nigh,2.35,,384,,2 GB,0,0,0,2 GB,0,3/4/2009
The Void,1.83,,128,,0MB,0,Windows XP 32-bit,0,6 GB,0,10/23/2009
The Tomorrow War,2.2,2.5835,128,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,7 GB,7 GB,5/15/2009
The Strike,,,,,0,0,0,0,0,0,10/6/2009
The Sims 3 Create-A-World,,,,,0,0,0,0,0,0,12/16/2009
The Saboteur,2.13,2.2,512,416,2 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,7 GB,7 GB,12/8/2009
The Princess and the Frog,2.5835,,192,,1 GB,0,0,0,4 GB,0,11/17/2009
The Path,2.5835,,384,,2 GB,0,0,0,2 GB,0,3/18/2009
The Maw,2.365,,512,,2 GB,0,0,0,0MB,0,1/21/2009
The Lost Inca Prophecy,,,,,0,0,0,0,0,0,8/4/2009
Citadels,2.6,3.65,256,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 GB,7/25/2013
Chronoblast,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/15/2013
Chronicles of Albian 2 - The Wizbury School of Magic,,,,,0,0,0,0,0,0,6/27/2013
Chemical Spillage Simulation,2.65,3,256,768,2 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,0MB,1 GB,6/14/2013
Champions of Regnum,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/27/2013
Chivalry: Deadliest Warrior,2.55,3,256,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,7 GB,7 GB,11/14/2013
Championship Manager: World of Football,,,,,0,0,0,0,0,0,10/30/2013
Chainsaw Warrior,1.63,2.1,64,256,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,10/7/2013
Castlevania: Lords of Shadow,2.45,2.465,128,1024,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,15 GB,15 GB,8/27/2013
Not Tetris 2,,,,,0,0,0,0,0,0,6/20/2011
No Time To Explain,1.1,,128,,0MB,0,0,0,0MB,0,8/15/2011
Company of Heroes 3,2.9,3.2,2048,6144,8 GB,16 GB,Windows 10 64-bit,Windows 10 64-bit,40 GB,40 GB,11/17/2022
NightSky,1.1,,128,,0MB,0,0,0,0MB,0,1/6/2011
Nightclub Imperium,2.5835,,512,,2 GB,0,Windows XP 32-bit,0,1 GB,0,10/21/2011
NEStalgia,1.5,,64,,0MB,0,Windows XP 32-bit,0,1 GB,0,2/23/2011
No More Room in Hell,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,4 GB,4 GB,10/30/2011
Need for Speed: The Run,2.55,2.93,512,2048,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,18 GB,18 GB,11/18/2011
New Star Soccer 5,1.83,,256,,1 GB,0,Windows XP 32-bit,0,0MB,0,8/11/2011
The Hunter,2.5,,256,,1 GB,0,0,0,1.5 GB,0,3/1/2009
The Humans,1.83,,256,,0MB,0,0,0,1 GB,0,8/5/2009
The Lord of the Rings: Conquest,2.63,2.65,384,384,1 GB,1 GB,Windows XP 32-bit,Windows XP 32-bit,6 GB,6 GB,1/13/2009
The Last Remnant,2.2,2.465,256,416,1.5 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,15 GB,15 GB,3/20/2009
The Godfather II,2.3,,384,,2 GB,0,0,0,9 GB,0,4/10/2009
The Blackwell Convergence,1.1,,48,,0,0,0,0,0,0,7/22/2009
The Chronicles of Spellborn,2.3965,,256,,2 GB,0,0,0,12 GB,0,6/1/2009
The Beatles: Rock Band,,,,,0,0,0,0,0,0,9/9/2009
CastleStorm,1.63,2.1,320,640,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/29/2013
Castle of Illusion,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,9/4/2013
Terminator Salvation,2,3.215,640,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,8 GB,8 GB,5/29/2009
Castle Story,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1.5 GB,1.5 GB,9/23/2013
Card Hunter,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,9/12/2013
Carnage Racing,,,,,0,0,0,0,0,0,11/21/2013
Call of Duty: Ghosts,2.53,2.58,1024,2560,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,40 GB,40 GB,11/5/2013
Call of Juarez: Gunslinger,2.05,3.1,512,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,5/22/2013
Naval Warfare,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/25/2011
Call of Duty - Black Ops 2: Vengeance,1.75,2.83,768,1536,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,10 GB,10 GB,7/2/2013
Naild The Game,2.2,,768,,2 GB,0,0,0,4 GB,0,2/4/2011
Nancy Drew: The Captive Curse,1.48,,64,,0MB,0,0,0,2 GB,0,6/28/2011
My First Trainz Set,,,,,0,0,0,0,0,0,2/11/2011
Nancy Drew: Alibi In Ashes,1.48,,64,,0MB,0,0,0,2 GB,0,10/18/2011
My Farm Life 2,1.1,,128,,0MB,0,0,0,0MB,0,9/22/2011
Tales of the Drunken Paladin,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,6/30/2009
Tales of Monkey Island: Chapter 5 - Rise of the Pirate God,2.85,,128,,1 GB,0,0,0,1 GB,0,12/8/2009
Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2.85,,128,,1 GB,0,0,0,1 GB,0,10/30/2009
Call of Duty - Black Ops 2: Nuketown Zombies,1.75,2.83,1024,2048,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,1 GB,1 GB,1/17/2013
Call of Duty - Black Ops 2: Revolution,1.75,2.83,1024,2048,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,10 GB,10 GB,2/28/2013
Call of Duty - Black Ops 2: Apocalypse,1.75,2.83,768,1536,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,10 GB,10 GB,9/26/2013
Calavera: Day of the Dead,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1.5 GB,1.5 GB,7/22/2013
Cabelas African Adventures,2.25,3.23,768,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,9 GB,9 GB,10/16/2013
Bush Whacker 2,1.5,,64,,0MB,0,Windows XP 32-bit,0,0MB,0,9/27/2013
Bus Simulator 2012,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,2/23/2013
Call of Duty - Black Ops 2: Uprising,,,,,0,0,0,0,0,0,4/16/2013
Build-a-Lot: Mysteries,,,,,0,0,0,0,0,0,7/17/2013
Mount and Blade: With Fire and Sword,2.35,,384,,2 GB,0,0,0,0MB,0,5/3/2011
MotorStorm: Apocalypse,,,,,0,0,0,0,0,0,5/3/2011
Monkey Pole Climb,1.1,,128,,0MB,0,0,0,0MB,0,10/21/2011
Monday Night Combat,1.8,2.8,256,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,1/24/2011
Monster RPG 2,1.1,,128,,1 GB,0,Windows XP 32-bit,0,0MB,0,11/29/2011
NBA 2k12,2.5,2.965,512,416,1 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,8.5 GB,8.5 GB,10/7/2011
Modern Warfare 3,1.95,2.73,640,320,2 GB,3 GB,Windows XP 32-bit,Windows 7 32-bit,16 GB,16 GB,11/8/2011
Superstars V8 Racing,2.2,2.25,384,320,1 GB,2 GB,Windows XP 32-bit,Windows Vista 32-bit,7 GB,7 GB,6/26/2009
Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal,2.85,,128,,1 GB,0,0,0,1 GB,0,7/7/2009
Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,2.85,,128,,1 GB,0,0,0,1 GB,0,8/20/2009
Tales of Monkey Island: Chapter 3 - Lair of the Leviathan,2.85,,128,,1 GB,0,0,0,1 GB,0,9/29/2009
Brutal Nature,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/29/2013
Sudden Attack,1.83,2.5835,96,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/17/2009
Stronghold Kingdoms,,,,,0,0,0,0,0,0,5/28/2009
Sudokuball Detective,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/1/2009
Brothers: A Tale of Two Sons,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,6 GB,6 GB,8/28/2013
Broken Sword: The Serpents Curse,1.8,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 64-bit,3 GB,3 GB,12/4/2013
Bret Airborne,1.63,2.05,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/11/2013
Boson X,,,,,0,0,0,0,0,0,8/30/2013
Borderlands 2: Tiny Tinas Assault On Dragon Keep,2.4,2.565,256,1024,2 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,13 GB,20 GB,6/25/2013
Bonfire,1.415,,64,,0MB,0,Windows XP 32-bit,0,0MB,0,4/16/2013
Borderlands 2: Sir Hammerlocks Big Game Hunt,2.4,2.565,256,1024,2 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,1 GB,1 GB,1/16/2013
Modern Hunt,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/28/2011
MLB Manager Online,2.3,,192,,1 GB,0,0,0,1 GB,0,3/9/2011
MLB 2K11,3.05,,768,,2 GB,0,0,0,10 GB,0,8/5/2011
Mini Robot Wars,2.08,,128,,1 GB,0,0,0,0MB,0,7/9/2011
Model Train Simulator 2011,1.83,,128,,0MB,0,0,0,0,0,2/11/2011
Millennium 4: Beyond Sunset,,,,,0,0,0,0,0,0,8/6/2011
Might and Magic: Clash of Heroes,2.4,2,256,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,9/22/2011
Streets of Moscow,2,2.2,192,512,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,5/25/2009
Streetfighter IV,2,2.165,384,288,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,10 GB,10 GB,7/3/2009
Street Racer Europe,,,,,0,0,0,0,0,0,2/9/2009
Stormrise,2.5,,256,,2 GB,0,0,0,9 GB,0,3/27/2009
Stealth Force 2,2,,192,,0MB,0,0,0,0MB,0,9/25/2009
Star Wars: The Force Unleashed - Ultimate Sith Edition,2.5,2.55,448,768,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,25 GB,25 GB,11/3/2009
Still Life 2,2.4,,320,,1 GB,0,0,0,5 GB,0,5/14/2009
Star Wars The clone Wars: Republic Heroes,2.5835,,256,,2 GB,0,0,0,8 GB,0,10/6/2009
Star Trek DAC,2.0335,,192,,2 GB,0,Windows XP 32-bit,0,0MB,0,5/21/2009
Stalin vs Martians,2.4665,,256,,2 GB,0,0,0,2 GB,0,4/20/2009
Minecraft,3.15,3.5,512,1536,4 GB,8 GB,Windows 7 32-bit,Windows 10 64-bit,1 GB,4 GB,11/11/2011
Blood Of The Werewolf,1.9165,2.83,384,1024,2 GB,2 GB,Windows XP 32-bit,Windows XP 64-bit,3 GB,3 GB,10/28/2013
Bleak,2.03,,512,,1.5 GB,0,Windows XP 32-bit,0,4 GB,0,1/1/2014
Blade Symphony,2.4,2.1,1024,,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,4/30/2013
Black Galaxy,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,1/12/2013
Blood Knights,1.6,2.65,384,768,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,5 GB,5 GB,5/17/2013
BLAZE - mechforces,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/17/2013
BIT.TRIP Presents Runner2: Future Legend of Rhythm Alien,1.6,2.4,64,128,0MB,0MB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/26/2013
Bioshock Infinite: Clash In The Clouds,2.55,2.4,768,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,30 GB,7/30/2013
Bioshock Infinite,2.55,2.4,768,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,30 GB,3/26/2013
Metacell,1.58,1.85,512,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/11/2011
Blast Em,1.78,2.9,256,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/1/2013
Men of War: Vietnam,2.23,2.465,384,320,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,9/9/2011
Metal Dead,1.83,2.5835,384,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,1.5 GB,1.5 GB,12/20/2011
Bioshock Infinite: Burial At Sea - Episode One,2.55,2.4,768,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,30 GB,11/12/2013
Spore Creature Keeper,2.4665,,256,,1 GB,0,0,0,4 GB,0,11/6/2009
Splosion Man,,,,,0,0,0,0,0,0,7/22/2009
Spider Solitaire,,,,,0,0,0,0,0,0,7/22/2009
Space Rangers 2 - Reboot,2.2885,,128,,0MB,0,0,0,1.5 GB,0,2/26/2009
Men of War: Assault Squad,2.265,,256,,2 GB,0,0,0,5 GB,0,2/25/2011
Bionic Heart 2,,,,,0,0,0,0,0,0,4/1/2013
Spore: Galactic Adventure,2.4665,,256,,1 GB,0,0,0,4 GB,0,6/23/2009
Bionic Dues,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/8/2013
Big Fish Casino,,,,,0,0,0,0,0,0,8/22/2013
Might & Magic: Clash of Heroes - I Am the Boss,2.4,2,256,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,9/22/2011
Mechanic Infantry,1.3335,,256,,0MB,0,0,0,0MB,0,7/4/2011
Beyond: Two Souls,3.25,3.5,2048,6144,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,49 GB,49 GB,7/22/2019
Beatbuddy,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,8/6/2013
Beast Boxing Turbo,1.5,,64,,0MB,0,Windows XP 32-bit,0,1 GB,0,11/19/2013
Battlefield 4: China Rising,2.65,2.8,512,2048,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,30 GB,30 GB,12/3/2013
Battlefield 4,2.65,2.8,512,2048,4 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,30 GB,30 GB,11/1/2013
Marvel Super Hero Squad Online,,,,,0,0,0,0,0,0,11/4/2011
Majesty 2 Collection,2.05,,768,,2 GB,0,0,0,4 GB,0,4/19/2011
Magicka: Watch Tower,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/21/2011
Magicka: Vietnam,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/12/2011
Solitaire,,,,,0,0,0,0,0,0,7/22/2009
Magicka: The Stars Are Left,2.3,1.75,512,512,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/30/2011
Magicka: Party Robes,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/21/2011
Soul of the Ultimate Nation,2.5835,,192,,1 GB,0,0,0,3 GB,0,10/21/2009
Solium Infernum,1.8,,192,,0MB,0,0,0,0MB,0,11/29/2009
Smashing Toys,1.9835,,192,,0MB,0,Windows XP 32-bit,0,2 GB,0,4/22/2009
Sky Madness,1.1,,128,,0MB,0,Windows XP 32-bit,0,0MB,0,7/15/2009
Sins of a Solar Empire: Entrenchment,1.665,2.35,192,384,0MB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/25/2009
BattleBlock Theater,2.75,3.23,128,1024,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,5/15/2014
Battle Worlds: Kronos,2.25,3.115,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,3 GB,3 GB,11/4/2013
Battle Academy- Operation Husky,,,,,0,0,0,0,0,0,3/20/2013
Ballpoint Universe: Infinite,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/17/2013
Batman: Arkham Origins - Initiation,2.45,3.03,288,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,15 GB,12/3/2013
Bad Bots,1.85,2.45,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/17/2013
Baldurs Gate 2: Enhanced Edition,1.1,,64,,0MB,0,Windows XP 32-bit,0,3 GB,0,11/15/2013
Magicka: Marshlands,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/26/2011
Awakening: The Sunhook Spire Collectors Edition,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,8/18/2013
Magicka: Holiday Spirit DLC,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/30/2011
Magicka: Horror Props DLC,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/30/2011
Magicka: Frozen Lake,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/21/2011
MDK2 HD,2.9,,384,,1 GB,0,0,0,1 GB,0,10/12/2011
Mass Effect 2: Arrival,1.85,2.93,384,416,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,3/29/2011
Martial Arts: Capoeira,,,,,0,0,0,0,0,0,11/25/2011
Sims 3: World Adventures,1.83,2.05,192,384,1.5 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,3.5 GB,3.5 GB,11/20/2009
Magicka Gamer Bundle DLC,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/19/2011
Magicka: Final Frontier,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/21/2011
Magicka Wizards Survival Kit,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/8/2011
Magicka Nippon,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/31/2011
Sims 3,1.83,2.05,192,384,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,7.5 GB,7.5 GB,6/5/2009
Shutter Island,,,,,0,0,0,0,0,0,9/25/2009
Silas,1.88,,256,,2 GB,0,0,0,2 GB,0,2/1/2009
Sherlock Holmes vs Jack the Ripper,1.8,,128,,0MB,0,0,0,3 GB,0,5/26/2009
Shellshock 2: Blood Trails,2.015,,256,,2 GB,0,0,0,8 GB,0,2/13/2009
Shattered Horizon,2.7,,704,,2 GB,0,0,0,1.5 GB,0,11/4/2009
Autonomous Mechanical Individual: AMI,,,,,0,0,0,0,0,0,4/4/2013
Shadowbane,,,,,0,0,0,0,0,0,7/1/2009
Atlantis: Pearls of the Deep,1.415,,0,,0MB,0,Windows XP 32-bit,0,0MB,0,1/23/2013
Astro Emporia,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/7/2013
Assetto Corsa,2.6,3,1024,4096,2 GB,6 GB,Windows Vista 64-bit,Windows 7 64-bit,15 GB,30 GB,11/8/2013
Assassins Creed 4 Black Flag: Freedom Cry,2.365,2.75,448,1152,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,30 GB,30 GB,12/17/2013
Assassins Creed 4 Black Flag,2.365,2.75,448,1152,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,30 GB,30 GB,11/22/2013
Battlefield 3: End Game,2.05,2.215,512,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,3 GB,3 GB,3/26/2013
Batman: Arkham Origins,2.45,3.03,640,2048,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,15 GB,10/25/2013
Assassins Creed 3: The Tyranny of King Washington,2.88,2.165,512,704,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,1 GB,1 GB,2/19/2013
Magicka,2.3,1.75,512,512,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,1/25/2011
Lucha Fury,2.9,,640,,1.5 GB,0,0,0,1.5 GB,0,3/31/2011
Magic: The Gathering - Duels of the Planeswalkers 2012,1.83,2.48,128,384,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/15/2011
M.A.R.S,,,,,0,0,0,0,0,0,11/27/2011
Louisiana Adventure,,,,,0,0,0,0,0,0,11/22/2011
Lume,,,,,0,0,0,0,0,0,5/9/2011
Section 8,2.4,2.25,256,512,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,6 GB,6 GB,9/11/2009
Magic The Gathering: Tactics,2.3,,768,,1.5 GB,0,0,0,1.5 GB,0,1/18/2011
Scrabble Plus,,,,,0,0,0,0,0,0,6/8/2009
Ashes Cricket 2013,2.965,3.05,768,896,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,11 GB,11 GB,11/22/2013
Secret Files 2: Puritas Cordis,1.6,,48,,0MB,0,0,0,2 GB,0,5/8/2009
Scourge of War: Gettysburg,1.75,,256,,2 GB,0,0,0,2 GB,0,5/5/2009
Scooby-Doo! First Frights,,,,,0,0,0,0,0,0,9/21/2009
Serious Sam: The First Encounter,2.05,,512,,2 GB,0,0,0,3 GB,0,11/24/2009
Arma Tactics,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/1/2013
Arma II: DayZ Mod,2.7,2.9,384,960,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,20 GB,20 GB,2/21/2013
ArmA III - Survive,2.2,2.965,512,704,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,15 GB,10/31/2013
ArmA III,2.2,2.9,384,1024,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,25 GB,9/12/2013
Arcane Saga Online,1.83,2.73,384,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,10 GB,10 GB,6/6/2013
Scorpion - Disfigured,2.0335,,256,,1 GB,0,0,0,0,0,10/27/2009
Life Quest,,,,,0,0,0,0,0,0,1/1/2011
Limbo,1.73,2.5835,256,320,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/2/2011
LightFish,1.83,,256,,2 GB,0,Windows XP 32-bit,0,0MB,0,10/19/2011
Antichamber,1.83,,0,,2 GB,0,Windows XP 32-bit,0,1 GB,0,1/31/2013
